it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18
2.000000000000000000e+00,2.112613667740109058e+00,1.704036140760129880e+00,1.310180176261270146e+00,2.152276265134652533e+00,2.094007905980339146e+00,1.296244535925826780e+00,1.277800266471156299e+00,1.004502981213008406e+00,2.515224079288300718e+00,2.206430421638851946e+00,9.243515790615213223e-01,2.338853464758681611e+00,1.826912202671621133e-01,2.215116737127178936e+00,2.125170813435134587e+00,2.152406350829123571e+00,2.204544060737011257e+00,2.184216068113931541e+00,1.480634181185907505e-01,1.931992662340615619e+00,2.112613667740109058e+00
2.000000000000000000e+00,2.112613667740109058e+00,1.704036140760129880e+00,1.310180176261270146e+00,2.152276265134652533e+00,2.094007905980339146e+00,1.296244535925826780e+00,1.277800266471156299e+00,1.004502981213008406e+00,2.515224079288300718e+00,2.206430421638851946e+00,9.243515790615213223e-01,2.338853464758681611e+00,1.826912202671621133e-01,2.215116737127178936e+00,2.125170813435134587e+00,2.152406350829123571e+00,2.204544060737011257e+00,2.184216068113931541e+00,1.480634181185907505e-01,1.931992662340615619e+00,2.112613667740109058e+00
2.000000000000000000e+00,2.112613667740109058e+00,1.704036140760129880e+00,1.310180176261270146e+00,2.152276265134652533e+00,2.094007905980339146e+00,1.296244535925826780e+00,1.277800266471156299e+00,1.004502981213008406e+00,2.515224079288300718e+00,2.206430421638851946e+00,9.243515790615213223e-01,2.338853464758681611e+00,1.826912202671621133e-01,2.215116737127178936e+00,2.125170813435134587e+00,2.152406350829123571e+00,2.204544060737011257e+00,2.184216068113931541e+00,1.480634181185907505e-01,1.931992662340615619e+00,2.112613667740109058e+00
2.000000000000000000e+00,2.112613667740109058e+00,1.704036140760129880e+00,1.310180176261270146e+00,2.152276265134652533e+00,2.094007905980339146e+00,1.296244535925826780e+00,1.277800266471156299e+00,1.004502981213008406e+00,2.515224079288300718e+00,2.206430421638851946e+00,9.243515790615213223e-01,2.338853464758681611e+00,1.826912202671621133e-01,2.215116737127178936e+00,2.125170813435134587e+00,2.152406350829123571e+00,2.204544060737011257e+00,2.184216068113931541e+00,1.480634181185907505e-01,1.931992662340615619e+00,2.112613667740109058e+00
