it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18,kld19,kld20
2.000000000000000000e+00,2.145947425976818757e+00,2.301878104807937753e+00,2.118300414064537396e+00,1.946623390340633364e+00,3.077516629267090131e+00,2.281437230648117875e+00,2.679563677725957049e+00,1.683463332420460645e+00,2.392766703881082702e+00,1.556838049269842594e+00,1.935891445143041123e+00,3.962445126959883712e+00,1.551844830412694609e+00,3.385112403246928192e+00,2.024868567585969448e+00,1.329561687109011459e+00,1.825461943052244962e+00,2.775986407886449125e+00,2.145947425976818757e+00,3.269938140929097958e+00,2.239436937487993884e+00,2.221142840793677742e+00,1.935293016765158525e+00
2.000000000000000000e+00,2.145947425976818757e+00,2.301878104807937753e+00,2.118300414064537396e+00,1.946623390340633364e+00,3.077516629267090131e+00,2.281437230648117875e+00,2.679563677725957049e+00,1.683463332420460645e+00,2.392766703881082702e+00,1.556838049269842594e+00,1.935891445143041123e+00,3.962445126959883712e+00,1.551844830412694609e+00,3.385112403246928192e+00,2.024868567585969448e+00,1.329561687109011459e+00,1.825461943052244962e+00,2.775986407886449125e+00,2.145947425976818757e+00,3.269938140929097958e+00,2.239436937487993884e+00,2.221142840793677742e+00,1.935293016765158525e+00
2.000000000000000000e+00,2.145947425976818757e+00,2.301878104807937753e+00,2.118300414064537396e+00,1.946623390340633364e+00,3.077516629267090131e+00,2.281437230648117875e+00,2.679563677725957049e+00,1.683463332420460645e+00,2.392766703881082702e+00,1.556838049269842594e+00,1.935891445143041123e+00,3.962445126959883712e+00,1.551844830412694609e+00,3.385112403246928192e+00,2.024868567585969448e+00,1.329561687109011459e+00,1.825461943052244962e+00,2.775986407886449125e+00,2.145947425976818757e+00,3.269938140929097958e+00,2.239436937487993884e+00,2.221142840793677742e+00,1.935293016765158525e+00
2.000000000000000000e+00,2.145947425976818757e+00,2.301878104807937753e+00,2.118300414064537396e+00,1.946623390340633364e+00,3.077516629267090131e+00,2.281437230648117875e+00,2.679563677725957049e+00,1.683463332420460645e+00,2.392766703881082702e+00,1.556838049269842594e+00,1.935891445143041123e+00,3.962445126959883712e+00,1.551844830412694609e+00,3.385112403246928192e+00,2.024868567585969448e+00,1.329561687109011459e+00,1.825461943052244962e+00,2.775986407886449125e+00,2.145947425976818757e+00,3.269938140929097958e+00,2.239436937487993884e+00,2.221142840793677742e+00,1.935293016765158525e+00
