it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18,kld19
2.000000000000000000e+00,2.085022892523819671e+00,2.333612706601936981e+00,2.162741289354309870e+00,1.876386205026352005e+00,2.142200760558333084e+00,2.947353184315032681e+00,1.717890430124062950e+00,2.046277754144768313e+00,1.977903930615137806e+00,2.144190176196902886e+00,3.697170313932787611e+00,1.942435337274634133e+00,1.858474360673264103e+00,2.571373459116535809e+00,2.123768030902870585e+00,2.037195463365608195e+00,4.394608392449844914e+00,1.999036097549523827e+00,1.976088673606856139e+00,1.741026818380008168e+00,2.247979889019541488e+00,3.068153565432369501e+00
2.000000000000000000e+00,2.085022892523819671e+00,2.333612706601936981e+00,2.162741289354309870e+00,1.876386205026352005e+00,2.142200760558333084e+00,2.947353184315032681e+00,1.717890430124062950e+00,2.046277754144768313e+00,1.977903930615137806e+00,2.144190176196902886e+00,3.697170313932787611e+00,1.942435337274634133e+00,1.858474360673264103e+00,2.571373459116535809e+00,2.123768030902870585e+00,2.037195463365608195e+00,4.394608392449844914e+00,1.999036097549523827e+00,1.976088673606856139e+00,1.741026818380008168e+00,2.247979889019541488e+00,3.068153565432369501e+00
2.000000000000000000e+00,2.085022892523819671e+00,2.333612706601936981e+00,2.162741289354309870e+00,1.876386205026352005e+00,2.142200760558333084e+00,2.947353184315032681e+00,1.717890430124062950e+00,2.046277754144768313e+00,1.977903930615137806e+00,2.144190176196902886e+00,3.697170313932787611e+00,1.942435337274634133e+00,1.858474360673264103e+00,2.571373459116535809e+00,2.123768030902870585e+00,2.037195463365608195e+00,4.394608392449844914e+00,1.999036097549523827e+00,1.976088673606856139e+00,1.741026818380008168e+00,2.247979889019541488e+00,3.068153565432369501e+00
2.000000000000000000e+00,2.085022892523819671e+00,2.333612706601936981e+00,2.162741289354309870e+00,1.876386205026352005e+00,2.142200760558333084e+00,2.947353184315032681e+00,1.717890430124062950e+00,2.046277754144768313e+00,1.977903930615137806e+00,2.144190176196902886e+00,3.697170313932787611e+00,1.942435337274634133e+00,1.858474360673264103e+00,2.571373459116535809e+00,2.123768030902870585e+00,2.037195463365608195e+00,4.394608392449844914e+00,1.999036097549523827e+00,1.976088673606856139e+00,1.741026818380008168e+00,2.247979889019541488e+00,3.068153565432369501e+00
