it,kld_phi,kld_psi,kld_ram
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
1.000000000000000000e+00,1.755331715749495647e+00,9.466698048856356795e-01,1.733349814961007240e+01
